"name","email","code","phone","status","password","is_featured","description","image","role"
"Jane Smith","jane.smith@example.com","1","4165555678","1","$2y$10$qeFLa.oiWe7o4Ly.63s4M.Cti6N2bIo43dFsJBGx5O2HE5kd1UQ8m","","","http://127.0.0.1:8000/storage/2/8.png","2"
"Alice Brown","alice.brown@example.com","61","255507890","1","$2y$10$qeFLa.oiWe7o4Ly.63s4M.Cti6N2bIo43dFsJBGx5O2HE5kd1UQ8m","","","http://127.0.0.1:8000/storage/4/10.png","2"
"Charlie Davis","charlie.davis@example.com","91","2255567890","1","$2y$10$qeFLa.oiWe7o4Ly.63s4M.Cti6N2bIo43dFsJBGx5O2HE5kd1UQ8m","","","http://127.0.0.1:8000/storage/5/12.png","2"
"Emily Clark","emily.clark@example.com","1","2125556789","1","$2y$10$qeFLa.oiWe7o4Ly.63s4M.Cti6N2bIo43dFsJBGx5O2HE5kd1UQ8m","","","http://127.0.0.1:8000/storage/6/13.png","2"
"Michael Scott","michael.scott@example.com","61","355551234","1","$2y$10$qeFLa.oiWe7o4Ly.63s4M.Cti6N2bIo43dFsJBGx5O2HE5kd1UQ8m","","","http://127.0.0.1:8000/storage/7/14.png","2"
"Olivia Martinez","olivia.martinez@example.com","34","915551234","1","$2y$10$qeFLa.oiWe7o4Ly.63s4M.Cti6N2bIo43dFsJBGx5O2HE5kd1UQ8m","","","http://127.0.0.1:8000/storage/8/15.png","2"
"Lucas Walker","lucas.walker@example.com","27","115556789","1","$2y$10$qeFLa.oiWe7o4Ly.63s4M.Cti6N2bIo43dFsJBGx5O2HE5kd1UQ8m","","","http://127.0.0.1:8000/storage/9/21.png","2"
"Isabella Green","isabella.green@example.com","64","95551234","1","$2y$10$qeFLa.oiWe7o4Ly.63s4M.Cti6N2bIo43dFsJBGx5O2HE5kd1UQ8m","","","http://127.0.0.1:8000/storage/10/16.png","2"
"William Lee","william.lee@example.com","65","65556789","1","$2y$10$qeFLa.oiWe7o4Ly.63s4M.Cti6N2bIo43dFsJBGx5O2HE5kd1UQ8m","","","http://127.0.0.1:8000/storage/11/25.png","2"
"Sophia Kim","sophia.kim@example.com","82","25551234","1","$2y$10$qeFLa.oiWe7o4Ly.63s4M.Cti6N2bIo43dFsJBGx5O2HE5kd1UQ8m","","","http://127.0.0.1:8000/storage/12/26.png","2"
"Mia Rossi","mia.rossi@example.com","39","65551234","1","$2y$10$qeFLa.oiWe7o4Ly.63s4M.Cti6N2bIo43dFsJBGx5O2HE5kd1UQ8m","","","http://127.0.0.1:8000/storage/13/17.png","2"
"Jack Wilson","jack.wilson@example.com","44","1215556789","1","$2y$10$qeFLa.oiWe7o4Ly.63s4M.Cti6N2bIo43dFsJBGx5O2HE5kd1UQ8m","","","http://127.0.0.1:8000/storage/14/27.png","2"
"Ava Murphy","ava.murphy@example.com","353","15551234","1","$2y$10$qeFLa.oiWe7o4Ly.63s4M.Cti6N2bIo43dFsJBGx5O2HE5kd1UQ8m","","","http://127.0.0.1:8000/storage/15/29.png","2"
"test web","webapp342@gmail.com","","","1","","","","","2"
"Lillith Downs","cocibadu@mailinator.com","","","1","$2y$10$q2QcMUYQKbHSdyki2ekmm.ulKPC46qY/LGzbu6iAVKta0d4Lg5PV2","","","","2"
"Kasper Olsen","qicitivane@mailinator.com","","","1","$2y$10$fXiNKewsdZItAO/e9Sn27urGHcpWktaBuYQJ06U8IrfZsRc8tqYAq","","","","2"
